,week/year,extreme,normal,total
113,7/2019,0,0,0
114,8/2019,2,6,8
115,9/2019,0,0,0
116,10/2019,0,4,4
117,11/2019,1,2,3
118,12/2019,0,1,1
119,13/2019,0,0,0
120,14/2019,0,1,1
121,15/2019,0,0,0
122,16/2019,0,0,0
123,17/2019,0,0,0
124,18/2019,1,1,2
125,19/2019,1,0,1
126,20/2019,2,0,2
127,21/2019,2,1,3
128,22/2019,1,0,1
129,23/2019,0,0,0
130,24/2019,0,1,1
131,25/2019,0,0,0
132,26/2019,0,0,0
133,27/2019,1,0,1
134,28/2019,1,2,3
135,29/2019,1,1,2
136,30/2019,0,0,0
137,31/2019,0,0,0
138,32/2019,0,0,0
139,33/2019,0,0,0
140,34/2019,0,0,0
141,35/2019,0,1,1
142,36/2019,1,0,1
143,37/2019,0,0,0
144,38/2019,0,0,0
145,39/2019,0,0,0
146,40/2019,1,4,5
147,41/2019,1,1,2
148,42/2019,1,0,1
149,43/2019,0,0,0
150,44/2019,3,1,4
151,45/2019,0,0,0
152,46/2019,1,0,1
153,47/2019,0,0,0
154,48/2019,1,0,1
155,49/2019,0,1,1
156,50/2019,0,0,0
157,51/2019,3,0,3
158,52/2019,0,1,1
159,0/2020,0,0,0
160,1/2020,1,0,1
161,2/2020,2,0,2
162,3/2020,4,5,9
163,4/2020,450,689,1139
164,5/2020,774,2392,3166
165,6/2020,232,914,1146
166,7/2020,304,1127,1431
167,8/2020,152,477,629
168,9/2020,725,3251,3976
169,10/2020,0,0,0
170,11/2020,3,5,8
171,12/2020,7,14,21
172,13/2020,14,14,28
173,14/2020,37915,71657,109572
174,15/2020,91757,237922,329679
175,16/2020,110697,230084,340781
176,17/2020,36337,85059,121396
177,18/2020,100744,256503,357247
178,19/2020,62384,166013,228397
179,20/2020,92935,253146,346081
180,21/2020,36633,77909,114542
181,22/2020,80248,104370,184618
182,23/2020,0,0,0
183,24/2020,0,0,0
184,25/2020,0,0,0
185,26/2020,0,0,0
186,27/2020,0,0,0
187,28/2020,0,0,0
188,29/2020,0,0,0
189,30/2020,0,0,0
190,31/2020,0,0,0
191,32/2020,0,0,0
192,33/2020,0,0,0
193,34/2020,0,0,0
194,35/2020,0,0,0
195,36/2020,0,0,0
196,37/2020,0,0,0
197,38/2020,0,0,0
198,39/2020,0,0,0
199,40/2020,0,0,0
200,41/2020,0,0,0
201,42/2020,0,0,0
202,43/2020,0,0,0
203,44/2020,0,0,0
204,45/2020,0,0,0
205,46/2020,0,0,0
206,47/2020,0,0,0
207,48/2020,0,0,0
208,49/2020,0,0,0
209,50/2020,0,0,0
210,51/2020,0,0,0
211,52/2020,0,0,0
